"word","time"
"lomb","from_1201_1250"
"koma","from_1201_1250"
"csikó","from_1201_1250"
"boly","from_1201_1250"
"bajor","from_1201_1250"
"kelepce","from_1201_1250"
"gyúr","from_1201_1250"
"csap1","from_1201_1250"
"tanács","from_1201_1250"
"per1","from_1201_1250"
"tömény","from_1201_1250"
"sas","from_1201_1250"
"fegyvernök","from_1201_1250"
"hadnagy","from_1201_1250"
"görbe","from_1201_1250"
"szén","from_1201_1250"
"panasz","from_1201_1250"
"doh","from_1201_1250"
"bödön","from_1201_1250"
"hiú","from_1201_1250"
"mos","from_1201_1250"
"hévíz","from_1201_1250"
